age,gender,heightCm,weightKg,bodyFatPercent,diastolic,systolic,gripForce,sitAndBendForwardCm,sitUpsCounts,broadJumpCm,performanceClass,genderEncoded,bmi,sitUpsCounts_zGender,gripPerLeanMass,genderXgrip
45.0,F,159.0,63.1,30.9,93.0,144.0,34.1,19.0,30.0,155.0,A,0,24.959455717732684,-0.09820050067378622,0.7820724231172351,0.0
25.0,F,164.2,66.6,30.2,82.0,120.0,25.7,22.9,39.0,178.0,C,0,24.701761465548834,0.5686088775585841,0.5528451087190343,0.0
26.0,M,179.9,71.5,9.7,64.0,135.0,59.6,17.8,61.0,239.0,A,1,22.092441573216664,1.3763352161816886,0.923107899852086,59.6
26.0,M,169.2,70.6,21.0,63.0,129.0,41.3,15.1,53.0,225.0,B,1,24.660619575362297,0.6896803106405839,0.7404883996127227,41.3
21.0,F,162.7,47.2,18.9,78.0,133.0,25.4,20.5,36.0,137.0,B,0,17.830638401075284,0.34633908481446074,0.6635457376329703,0.0
25.0,F,161.7,63.36,31.3,89.0,128.0,25.0,10.7,39.0,160.0,C,0,24.232327439324525,0.5686088775585841,0.5743387293605634,0.0
59.0,F,155.9,62.7,30.2,76.0,143.0,36.8,29.1,25.0,122.0,A,0,25.797362744246918,-0.46865015524732534,0.8408622493979151,0.0
38.0,M,166.7,67.3,23.2,70.0,111.0,26.1,19.7,62.0,215.0,D,1,24.218311706584903,1.4621670793743269,0.5049684249628529,26.1
44.0,M,170.0,63.3,12.9,65.0,115.0,44.5,11.6,49.0,196.0,B,1,21.903114186851212,0.3463528578700315,0.8071200686324121,44.5
23.0,F,164.1,59.4,29.6,91.0,126.0,24.6,27.5,32.0,169.0,C,0,22.058160015240183,0.049979361155629426,0.5882690541781451,0.0
62.0,M,169.0,70.7,30.5,96.0,146.0,39.3,4.0,43.0,131.0,C,1,24.754035222856345,-0.1686383212857971,0.7998127664770587,39.3
47.0,F,158.3,53.5,29.2,70.0,117.0,25.9,8.1,32.0,151.0,D,0,21.349708626359742,0.049979361155629426,0.683774222503828,0.0
48.0,M,175.8,84.5,31.4,83.0,125.0,33.8,3.7,24.0,211.0,D,1,27.34128786849261,-1.799443721945921,0.5830903790087463,33.8
36.0,M,176.0,81.3,24.5,81.0,139.0,46.2,8.1,54.0,232.0,C,1,26.246126033057852,0.775512173833222,0.7526697783534128,46.2
50.0,F,159.8,57.1,24.4,63.0,103.0,30.8,24.4,30.0,143.0,A,0,22.36055394650071,-0.09820050067378622,0.7134980865278588,0.0
25.0,M,170.9,70.7,15.7,80.0,127.0,36.4,26.4,38.0,246.0,C,1,24.206683304338956,-0.5977976372489876,0.6107372303066606,36.4
26.0,M,176.7,77.2,16.3,66.0,129.0,50.0,9.1,51.0,223.0,C,1,24.725449822229784,0.5180165842553077,0.7737973641366588,50.0
28.0,F,159.5,51.54,24.5,82.0,123.0,37.2,23.0,37.0,145.0,A,0,20.25923487387113,0.4204290157291685,0.9559860919442753,0.0
30.0,M,172.1,79.5,26.7,91.0,148.0,34.7,-2.0,40.0,192.0,D,1,26.841413836867005,-0.4261339108637114,0.595467922812256,34.7
49.0,F,151.5,52.0,27.6,77.0,144.0,23.8,21.3,39.0,154.0,B,0,22.655730919626617,0.5686088775585841,0.6321716957076073,0.0
40.0,M,177.6,88.6,20.3,93.0,138.0,51.5,12.1,54.0,224.0,C,1,28.08974515055596,0.775512173833222,0.7293150669412103,51.5
21.0,M,172.5,66.4,12.5,82.0,130.0,51.2,6.3,46.0,178.0,D,1,22.314639781558494,0.08885726829211721,0.8812392426850257,51.2
31.0,M,177.5,79.5,23.0,90.0,148.0,51.2,18.4,62.0,208.0,A,1,25.233088672882367,1.4621670793743269,0.8363963080944213,51.2
32.0,M,178.0,84.5,21.2,68.0,130.0,52.3,16.2,62.0,232.0,A,1,26.669612422673904,1.4621670793743269,0.7854503949779232,52.3
27.0,M,177.6,79.7,22.8,59.0,108.0,48.0,1.8,59.0,219.0,D,1,25.268089034980928,1.2046714897964126,0.7801275508545646,48.0
42.0,M,168.0,61.0,14.9,94.0,151.0,28.9,1.0,32.0,230.0,D,1,21.612811791383223,-1.112788816404816,0.5567220820250043,28.9
52.0,M,173.6,84.9,30.3,93.0,144.0,42.0,9.0,43.0,185.0,D,1,28.17138822230245,-0.1686383212857971,0.7097555905926966,42.0
39.0,M,173.3,69.8,23.8,76.0,137.0,40.0,18.2,38.0,227.0,C,1,23.24118657911376,-0.5977976372489876,0.752054990260888,40.0
33.0,F,159.6,60.5,32.1,62.0,106.0,21.9,22.2,24.0,129.0,C,0,23.751421159414832,-0.5427400861620332,0.5331126230845068,0.0
25.0,F,161.8,57.7,21.7,74.0,115.0,29.3,26.6,50.0,190.0,A,0,22.04036480814569,1.3835981176203702,0.6485299618628967,0.0
31.0,M,169.9,73.1,19.2,97.0,145.0,45.0,14.5,37.0,249.0,D,1,25.323901710004254,-0.6836295004416256,0.761875093118067,45.0
34.0,M,183.6,76.82,16.3,80.0,120.0,46.3,14.2,55.0,220.0,B,1,22.789193140340135,0.86134403702586,0.7200807983534256,46.3
26.0,M,172.1,66.1,24.9,62.0,102.0,19.9,-9.9,44.0,159.0,D,1,22.317200687005144,-0.08280645809315898,0.400877498685565,19.9
28.0,M,180.1,82.1,15.0,83.0,147.0,52.6,18.8,55.0,247.0,A,1,25.311374611118936,0.86134403702586,0.7537436411836355,52.6
58.0,M,164.2,64.0,19.8,93.0,150.0,36.8,18.3,38.0,205.0,B,1,23.737428435362244,-0.5977976372489876,0.7169576059850373,36.8
48.0,M,169.8,75.4,14.7,94.0,149.0,51.4,24.7,55.0,246.0,A,1,26.151462054020456,0.86134403702586,0.7991765682674037,51.4
23.0,M,180.1,65.9,14.4,72.0,130.0,45.4,18.1,56.0,234.0,A,1,20.316925540471843,0.9471759002184982,0.8048161331952972,45.4
38.0,F,157.2,51.7,27.3,64.0,106.0,25.1,14.7,19.0,139.0,C,0,20.921145491391986,-0.9131897407355722,0.667803617846054,0.0
43.0,F,168.3,69.3,31.9,88.0,139.0,32.1,20.2,33.0,164.0,B,0,24.466114431512352,0.12406929207033725,0.6801812969213851,0.0
21.0,F,159.5,51.3,35.8,80.0,122.0,16.6,2.1,5.0,105.0,D,0,20.164896178300133,-1.9504487735414817,0.5040291972575954,0.0
56.0,M,166.7,56.9,16.5,90.0,147.0,41.6,17.8,30.0,198.0,B,1,20.475808857424678,-1.2844525427900924,0.8755774917651516,41.6
24.0,M,164.4,66.2,17.1,63.0,110.0,40.2,16.2,43.0,232.0,C,1,24.493698237637712,-0.1686383212857971,0.7325099581266695,40.2
58.0,F,146.5,46.4,32.9,71.0,127.0,18.7,17.4,20.0,111.0,C,0,21.61935491386038,-0.8390998098208644,0.6006218202374223,0.0
42.0,M,174.1,103.1,30.5,78.0,123.0,50.7,3.6,25.0,153.0,D,1,34.014267517100336,-1.713611858753283,0.7075619814526652,50.7
45.0,M,185.4,80.0,21.9,93.0,144.0,46.2,7.1,22.0,205.0,D,1,23.27397306503097,-1.9711074483311972,0.7394366197183099,46.2
37.0,M,168.9,78.8,23.4,88.0,144.0,42.1,20.9,47.0,241.0,C,1,27.62275034957852,0.17468913148475532,0.6974725318418576,42.1
31.0,M,175.3,83.6,30.1,93.0,152.0,45.9,7.2,55.0,193.0,D,1,27.204606299558506,0.86134403702586,0.785469330759595,45.9
43.0,F,164.0,50.8,22.4,88.0,124.0,24.0,13.5,28.0,160.0,C,0,18.887566924449736,-0.24638036250320186,0.608815650620992,0.0
23.0,F,162.4,58.9,29.6,71.0,119.0,28.1,25.5,48.0,178.0,A,0,22.33280351379553,1.2354182557909545,0.6776701651489428,0.0
59.0,F,165.0,63.7,31.4,77.0,120.0,20.8,25.5,30.0,120.0,B,0,23.397612488521585,-0.09820050067378622,0.4759921461295889,0.0
63.0,M,166.6,75.5,31.6,62.0,122.0,34.1,6.7,17.0,140.0,D,1,27.20175705336156,-2.4002667642943876,0.6603152472793463,34.1
40.0,M,174.2,77.6,17.8,85.0,133.0,49.5,12.1,48.0,213.0,B,1,25.57204263940388,0.2605209946773934,0.7760177590488375,49.5
27.0,F,150.5,55.7,39.6,66.0,114.0,29.7,13.4,23.0,159.0,D,0,24.591340051434315,-0.616830017076741,0.8828040472255578,0.0
56.0,F,160.2,62.4,33.3,67.0,103.0,28.8,20.7,15.0,133.0,B,0,24.31417656767992,-1.2095494643944036,0.6919617114519663,0.0
35.0,M,179.0,75.0,10.7,74.0,129.0,47.7,16.6,54.0,233.0,A,1,23.40750912892856,0.775512173833222,0.7122060470324749,47.7
30.0,M,172.7,78.0,26.6,79.0,140.0,36.9,3.4,25.0,218.0,D,1,26.15230229110933,-1.713611858753283,0.64451896876965,36.9
56.0,M,160.2,62.7,30.2,85.0,140.0,35.4,9.5,27.0,184.0,C,1,24.431071647332228,-1.5419481323680067,0.8088729246925597,35.4
36.0,M,171.5,80.5,21.5,86.0,153.0,46.7,16.8,53.0,220.0,A,1,27.369548402451358,0.6896803106405839,0.7390117498120822,46.7
60.0,M,175.1,66.5,17.3,85.0,125.0,40.4,13.9,31.0,211.0,C,1,21.68949064269712,-1.1986206795974543,0.7346055586366157,40.4
22.0,M,172.2,70.6,24.3,70.0,118.0,36.7,9.8,50.0,213.0,D,1,23.808849337871177,0.4321847210626696,0.6866975275146789,36.7
22.0,M,171.9,78.46,22.9,64.0,116.0,43.6,-9.3,46.0,219.0,D,1,26.551957876939824,0.08885726829211721,0.720748599912783,43.6
37.0,M,174.0,75.2,18.5,82.0,142.0,39.7,20.5,50.0,224.0,B,1,24.838155634826265,0.4321847210626696,0.6477613888526302,39.7
21.0,F,158.1,53.6,27.63524,70.0,115.0,18.9,12.4,17.0,116.0,D,0,21.44376552522623,-1.061369602564988,0.48727024078917336,0.0
21.0,M,170.4,74.3,19.5,82.0,157.0,45.6,12.7,54.0,194.0,B,1,25.588783089774957,0.775512173833222,0.7623951915601516,45.6
60.0,F,158.6,62.7,34.6,80.0,137.0,29.3,18.4,12.0,132.0,B,0,24.926492687433715,-1.431819257138527,0.7145330660540705,0.0
27.0,F,168.5,64.2,26.2,76.0,108.0,25.2,23.1,18.0,164.0,D,0,22.611804277575747,-0.9872796716502801,0.5318744776232809,0.0
59.0,F,156.3,60.5,33.6,79.0,130.0,29.6,22.4,23.0,135.0,A,0,24.764947897414984,-0.616830017076741,0.7368316240167282,0.0
47.0,F,157.0,54.1,26.8,72.0,117.0,25.1,18.2,25.0,157.0,B,0,21.948152054850095,-0.46865015524732534,0.6338191771966507,0.0
21.0,F,161.3,50.6,23.5,69.0,127.0,27.5,29.4,39.0,175.0,A,0,19.448306133250103,0.5686088775585841,0.7104290991759021,0.0
51.0,M,177.0,68.7,18.3,84.0,140.0,39.3,11.3,35.0,220.0,B,1,21.928564588719716,-0.8552932268269019,0.7001865382456853,39.3
48.0,M,171.0,66.2,17.3,99.0,144.0,48.8,16.0,49.0,225.0,B,1,22.63944461543723,0.3463528578700315,0.8913665306480307,48.8
49.0,M,170.0,66.2,18.0,82.0,130.0,39.5,20.0,39.0,156.0,C,1,22.90657439446367,-0.5119657740563495,0.7276545575123424,39.5
41.0,F,158.1,51.0,21.7,86.0,127.0,23.1,28.6,46.0,165.0,A,0,20.403582869151823,1.0872383939615389,0.5784689354669071,0.0
24.0,F,159.0,45.5,24.5,85.0,135.0,28.5,22.9,57.0,197.0,A,0,17.99770578695463,1.902227634023325,0.8296339422167237,0.0
35.0,M,178.4,79.0,15.4,73.0,127.0,52.7,14.7,68.0,260.0,A,1,24.822035432041666,1.9771582585301553,0.7885208127599724,52.7
26.0,F,156.7,56.3,32.8,78.0,123.0,19.7,22.9,28.0,130.0,C,0,22.9282232581779,-0.24638036250320186,0.5207011756745327,0.0
35.0,M,178.5,78.4,13.8,81.0,136.0,51.5,17.1,64.0,237.0,A,1,24.605920799692427,1.633830805759603,0.7620507599791656,51.5
25.0,M,171.2,65.1,11.8,67.0,127.0,45.1,22.2,54.0,239.0,A,1,22.211273910385188,0.775512173833222,0.7854652357614833,45.1
30.0,M,176.4,71.7,17.9,68.0,130.0,53.4,24.3,56.0,210.0,B,1,23.042096657257005,0.9471759002184982,0.9071496644055876,53.4
27.0,M,175.4,86.4,19.8,76.0,135.0,47.6,20.6,48.0,213.0,B,1,28.08371547555742,0.2605209946773934,0.6869400572642467,47.6
41.0,M,166.7,65.7,21.5,90.0,151.0,49.6,18.7,54.0,242.0,A,1,23.64254203748333,0.775512173833222,0.9617155764961366,49.6
50.0,F,158.4,57.2,32.0,69.0,134.0,21.1,18.6,17.0,136.0,C,0,22.797418630751963,-1.061369602564988,0.5424722336487042,0.0
22.0,M,175.8,72.0,30.4,75.0,115.0,34.6,19.0,54.0,188.0,C,1,23.296718657177134,0.775512173833222,0.6904533844189018,34.6
56.0,M,173.0,70.9,19.5,83.0,135.0,47.9,11.1,44.0,162.0,B,1,23.689398242507266,-0.08280645809315898,0.8392539575467153,47.9
46.0,F,159.1,52.2,27.2,84.0,127.0,22.9,17.9,30.0,136.0,D,0,20.62196966674186,-0.09820050067378622,0.6026062060544818,0.0
44.0,M,180.5,79.5,21.7,87.0,127.0,42.3,10.8,33.0,196.0,C,1,24.401286055202156,-1.026956953212178,0.6795344466131713,42.3
25.0,F,162.2,71.5,41.3,75.0,124.0,24.9,7.0,5.0,120.0,D,0,27.17717694888867,-1.9504487735414817,0.5932738471068966,0.0
25.0,F,156.3,48.6,26.5,73.0,138.0,22.8,29.8,41.0,155.0,A,0,19.893825914287078,0.7167887393879998,0.6382800033593684,0.0
59.0,M,170.0,59.1,15.0,71.0,115.0,28.3,8.6,15.0,162.0,D,1,20.44982698961938,-2.5719304906796636,0.5633522444510799,28.3
30.0,M,178.4,82.5,30.0,97.0,139.0,39.3,1.9,42.0,200.0,D,1,25.921745862575158,-0.25447018447843517,0.6805194805194805,39.3
24.0,M,176.0,67.2,10.8,81.0,120.0,47.7,17.2,55.0,242.0,A,1,21.694214876033058,0.86134403702586,0.795763933376041,47.7
39.0,M,168.8,70.9,25.5,83.0,128.0,33.7,5.4,33.0,201.0,D,1,24.882920419577275,-1.026956953212178,0.6380098635946271,33.7
27.0,M,170.3,74.6,22.0,98.0,151.0,47.9,14.5,53.0,170.0,B,1,25.72228415262486,0.6896803106405839,0.8231937856602737,47.9
33.0,M,172.8,78.8,19.3,87.0,146.0,59.8,19.7,59.0,228.0,A,1,26.38996056241426,1.2046714897964126,0.9403757729008234,59.8
28.0,F,163.6,52.4,20.3,72.0,118.0,31.0,23.5,23.0,130.0,C,0,19.577836096149593,-0.616830017076741,0.7422873945233558,0.0
28.0,F,166.2,59.7,21.9,72.0,118.0,32.1,15.6,38.0,165.0,B,0,21.612862585636897,0.49451894664387636,0.6884615137145395,0.0
35.0,M,179.2,64.7,12.9,88.0,128.0,49.7,22.5,46.0,239.0,A,1,20.147829639668373,0.08885726829211721,0.8819296692142663,49.7
34.0,M,177.8,76.4,28.9,82.0,130.0,41.1,5.3,38.0,194.0,C,1,24.167395273566058,-0.5977976372489876,0.7566218216360704,41.1
35.0,M,184.7,84.18,16.3,70.0,120.0,48.8,15.3,56.0,229.0,A,1,24.67602096377186,0.9471759002184982,0.692604713175073,48.8
34.0,M,173.2,73.77,19.5,80.0,120.0,50.0,18.1,59.0,218.0,B,1,24.591442697971615,1.2046714897964126,0.8419655854986584,50.0
25.0,M,164.3,61.18,22.0,78.0,145.0,43.3,18.6,47.0,209.0,C,1,22.663884370477085,0.17468913148475532,0.907368756339008,43.3
32.0,M,169.2,68.7,15.2,80.0,120.0,48.3,21.1,64.0,254.0,B,1,23.996948510302975,1.633830805759603,0.8290763780176319,48.3
21.0,F,169.1,56.1,22.6,77.0,120.0,26.3,31.3,24.0,162.0,C,0,19.61894483649306,-0.5427400861620332,0.6056921241599763,0.0
22.0,M,183.5,76.9,15.7,86.0,143.0,40.9,22.8,56.0,253.0,A,1,22.83779670203209,0.9471759002184982,0.6309128800324557,40.9
22.0,F,156.9,46.9,23.0,98.0,155.0,20.5,16.5,38.0,155.0,B,0,19.05140263413061,0.49451894664387636,0.5676626145709301,0.0
24.0,M,172.1,64.5,16.8,88.0,154.0,40.2,21.7,63.0,201.0,B,1,21.77699613179776,1.547998942566965,0.7491055456171737,40.2
27.0,M,178.2,75.1,15.9,59.0,129.0,49.2,16.7,55.0,229.0,A,1,23.649640185367836,0.86134403702586,0.7789851343670192,49.2
21.0,F,164.4,48.1,16.9,63.0,112.0,26.5,29.4,41.0,215.0,A,0,17.796780743661238,0.7167887393879998,0.6629790023291828,0.0
46.0,F,164.1,49.1,30.5,59.0,117.0,21.2,4.3,16.0,150.0,D,0,18.23326021461773,-1.1354595334796957,0.6212545238758076,0.0
29.0,F,162.2,51.7,29.2,83.0,118.0,29.7,23.7,44.0,183.0,A,0,19.6511894861195,0.9390585321321233,0.8113956004327443,0.0
23.0,F,162.7,51.7,19.0,76.0,110.0,32.6,21.4,59.0,200.0,D,0,19.53059333338119,2.0504074958527405,0.7784702820163812,0.0
51.0,M,177.9,67.2,15.8,63.0,112.0,36.6,13.7,25.0,183.0,D,1,21.23329418444718,-1.713611858753283,0.6468442483881914,36.6
28.0,M,184.8,84.6,17.2,83.0,123.0,52.5,11.7,56.0,257.0,B,1,24.772305616461455,0.9471759002184982,0.7494775071093295,52.5
23.0,F,164.7,44.3,26.7,80.0,130.0,22.3,12.5,25.0,130.0,C,0,16.331140979035318,-0.46865015524732534,0.6867476187103312,0.0
30.0,M,178.3,93.5,27.3,81.0,129.0,57.0,16.1,47.0,222.0,A,1,29.410941310545248,0.17468913148475532,0.8385497502739999,57.0
25.0,F,160.1,51.7,30.7,71.0,126.0,25.7,21.1,47.0,159.0,A,0,20.17009200605025,1.1613283248762467,0.7173140635423032,0.0
28.0,M,172.7,69.8,27.6,81.0,149.0,46.5,10.0,48.0,185.0,C,1,23.402957691274757,0.2605209946773934,0.9201507068340484,46.5
22.0,M,178.3,73.2,23.4,93.0,132.0,42.7,11.7,46.0,208.0,C,1,23.025464213175532,0.08885726829211721,0.7615317667536988,42.7
51.0,M,167.7,72.7,29.0,90.0,148.0,36.3,6.1,37.0,180.0,D,1,25.85046059689319,-0.6836295004416256,0.7032566790011042,36.3
24.0,F,165.1,49.9,19.3,70.0,108.0,31.8,21.6,50.0,204.0,A,0,18.306545488830622,1.3835981176203702,0.7896834561315942,0.0
27.0,F,160.3,47.8,19.5,60.0,111.0,27.3,28.0,37.0,173.0,A,0,18.602051907508102,0.4204290157291685,0.7094778970347464,0.0
61.0,F,153.2,62.2,37.0,71.0,111.0,25.7,3.0,0.0,58.0,D,0,26.501646340216386,-2.320898428115021,0.655846475782167,0.0
30.0,M,169.5,71.9,20.6,72.0,125.0,45.9,13.0,66.0,235.0,B,1,25.02588734870041,1.8054945321448792,0.8040134107334913,45.9
42.0,M,180.2,73.3,20.4,95.0,140.0,53.7,26.0,41.0,211.0,C,1,22.57326610831965,-0.34030204767107325,0.9203589571321821,53.7
22.0,M,180.3,91.7,32.1,75.0,134.0,28.6,-6.9,36.0,210.0,D,1,28.208362902895857,-0.7694613636342638,0.4593322337198041,28.6
23.0,F,164.7,62.5,31.4,77.0,121.0,23.2,14.7,41.0,165.0,C,0,23.04054878532071,0.7167887393879998,0.5411078717201167,0.0
27.0,F,160.2,54.5,20.7,77.0,130.0,22.2,22.5,35.0,171.0,C,0,21.23593947016916,0.2722491538997529,0.5136689149322629,0.0
29.0,M,167.9,70.7,25.3,75.0,135.0,47.3,16.2,53.0,181.0,B,1,25.079450777764492,0.6896803106405839,0.8956145184225823,47.3
62.0,M,165.6,67.6,25.7,84.0,152.0,40.5,9.8,41.0,188.0,B,1,24.650516931550328,-0.34030204767107325,0.8063424307341898,40.5
21.0,M,169.2,92.9,33.3,93.0,157.0,44.6,10.9,52.0,226.0,D,1,32.45002207579543,0.6038484474479457,0.7197692865085218,44.6
25.0,M,184.1,74.7,12.6,94.0,141.0,49.5,13.0,49.0,243.0,C,1,22.040072806002218,0.3463528578700315,0.7581814672879159,49.5
31.0,F,166.9,64.1,30.5,77.0,133.0,27.5,21.5,37.0,150.0,B,0,23.011522634040322,0.4204290157291685,0.6172908786855071,0.0
21.0,M,175.0,66.4,16.5,77.0,124.0,39.4,13.0,54.0,248.0,C,1,21.681632653061225,0.775512173833222,0.7106269388932976,39.4
38.0,M,171.6,66.3,20.5,92.0,153.0,46.0,26.2,46.0,204.0,B,1,22.515363424454335,0.08885726829211721,0.8727245131240692,46.0
23.0,F,178.1,64.2,29.2,55.0,102.0,29.9,14.6,27.0,126.0,C,0,20.239845319661878,-0.32047029341790967,0.6578136825245965,0.0
56.0,M,170.1,61.5,22.0,89.0,148.0,37.7,20.5,40.0,195.0,A,1,21.255263269764548,-0.4261339108637114,0.7859078590785908,37.7
59.0,M,170.3,71.0,24.5,75.0,140.0,30.1,22.0,33.0,182.0,D,1,24.480994300755565,-1.026956953212178,0.5615147840686504,30.1
23.0,F,164.4,54.3,21.7,61.0,109.0,27.0,31.7,44.0,186.0,A,0,20.09075248192942,0.9390585321321233,0.6350415952244872,0.0
52.0,M,170.0,75.5,30.4,77.0,127.0,39.6,10.2,29.0,186.0,D,1,26.124567474048447,-1.3702844059827304,0.7535967115779859,39.6
33.0,M,178.0,74.66,19.0,96.0,135.0,43.1,18.6,37.0,198.0,C,1,23.563943946471404,-0.6836295004416256,0.7126959086955515,43.1
58.0,F,154.9,51.6,24.1,85.0,132.0,25.3,19.4,31.0,165.0,B,0,21.505367381275573,-0.0241105697590784,0.6459948320413437,0.0
21.0,F,160.9,61.4,36.5,71.0,103.0,27.3,20.8,47.0,169.0,C,0,23.716810467534046,1.1613283248762467,0.700197491600195,0.0
27.0,M,176.0,72.86,18.6,78.0,155.0,39.7,10.1,53.0,231.0,B,1,23.521435950413224,0.6896803106405839,0.6693864777861485,39.7
27.0,M,173.5,65.3,14.3,76.0,137.0,39.1,12.1,46.0,229.0,C,1,21.692730609838133,0.08885726829211721,0.6986871471942618,39.1
21.0,F,163.0,62.3,32.9,75.0,131.0,33.3,12.2,44.0,167.0,C,0,23.448379690616886,0.9390585321321233,0.7965878291905184,0.0
57.0,M,168.5,66.0,24.1,88.0,156.0,42.1,9.5,30.0,212.0,B,1,23.245780098442353,-1.2844525427900924,0.8404200103804847,42.1
29.0,F,166.7,52.84,15.2,74.0,125.0,30.7,29.7,48.0,186.0,A,0,19.01479332207944,1.2354182557909545,0.6851406167426048,0.0
45.0,M,170.0,70.0,20.0,73.0,137.0,34.2,8.5,36.0,219.0,D,1,24.221453287197235,-0.7694613636342638,0.6107142857142858,34.2
24.0,F,155.5,64.4,34.8,60.0,109.0,24.7,16.7,43.0,174.0,B,0,26.633306107256963,0.8649686012174155,0.5882521053233243,0.0
50.0,F,163.9,52.5,19.6,89.0,151.0,25.4,18.0,26.0,171.0,B,0,19.54345739023743,-0.3945602243326175,0.6017531390665719,0.0
60.0,M,173.0,68.4,11.4,70.0,124.0,47.1,12.3,52.0,195.0,A,1,22.85408800828628,0.6038484474479457,0.7771969426953388,47.1
62.0,M,163.7,63.9,23.3,93.0,144.0,42.7,25.0,29.0,211.0,B,1,23.84533890794319,-1.3702844059827304,0.8712276556630819,42.7
39.0,F,159.2,45.3,19.6,64.0,105.0,20.8,18.7,36.0,161.0,B,0,17.87360167672534,0.34633908481446074,0.5710959551030719,0.0
22.0,F,162.2,60.4,27.1,74.0,115.0,34.9,22.6,37.0,148.0,A,0,22.95806276521504,0.4204290157291685,0.7926125782392646,0.0
54.0,F,156.5,52.2,30.1,72.0,117.0,20.5,13.5,16.0,110.0,C,0,21.312864273392606,-1.1354595334796957,0.5618316259133188,0.0
48.0,M,167.2,68.5,28.2,75.0,112.0,39.2,7.0,31.0,195.0,C,1,24.50293033584396,-1.1986206795974543,0.7970233617306793,39.2
61.0,F,160.9,63.1,30.9,83.0,130.0,27.5,21.1,27.0,140.0,A,0,24.373464829013002,-0.32047029341790967,0.6307035670300283,0.0
60.0,M,172.5,76.0,23.1,86.0,154.0,47.3,16.0,41.0,206.0,A,1,25.54085276202478,-0.34030204767107325,0.8093217438915884,47.3
27.0,M,168.6,67.2,23.7,77.0,123.0,45.0,11.6,41.0,223.0,C,1,23.640362541845555,-0.34030204767107325,0.8776446358359857,45.0
40.0,F,162.5,51.4,22.5,91.0,143.0,26.9,26.3,36.0,174.0,A,0,19.465088757396448,0.34633908481446074,0.6752855529057361,0.0
36.0,M,172.1,65.64,19.9,86.0,142.0,47.3,15.4,39.0,215.0,B,1,22.16189187738302,-0.5119657740563495,0.8996219685782777,47.3
58.0,M,168.5,74.9,30.1,89.0,139.0,40.6,15.8,29.0,188.0,B,1,26.38043832383837,-1.3702844059827304,0.7754736405813377,40.6
55.0,F,152.8,55.6,31.3,78.0,129.0,23.9,15.7,23.0,130.0,C,0,23.813766070009045,-0.616830017076741,0.6257003131119557,0.0
25.0,F,158.1,57.9,31.5,61.0,117.0,24.5,13.7,59.0,157.0,C,0,23.164067610272365,2.0504074958527405,0.617727519130643,0.0
21.0,M,169.6,64.5,10.9,77.0,134.0,46.2,21.5,65.0,248.0,A,1,22.42373843004628,1.7196626689522412,0.8039046798736721,46.2
23.0,F,163.8,57.5,31.7,84.0,127.0,32.9,28.8,43.0,164.0,A,0,21.43088223674304,0.8649686012174155,0.8377363294926474,0.0
